Date;Company;Assets
30.09.1999;7;14135
30.06.1999;7;14291
31.03.1999;7;13988
31.12.1998;7;15252
30.09.1998;7;15344
30.06.1998;7;15538
31.03.1998;7;16628
31.12.1997;7;15282
30.09.1997;7;17570
30.06.1997;7;17676
31.03.1997;7;17534
31.12.1996;7;14981
30.09.1996;7;17334
28.06.1996;7;17492
31.12.2015;8;63339
30.09.2015;8;61989
30.06.2015;8;61631
31.03.2015;8;60547
31.12.2014;8;60127
30.09.2014;8;57884
30.06.2014;8;57025
31.03.2014;8;55987
31.12.2013;8;55605
30.09.2013;8;55214
28.06.2013;8;54324
28.03.2013;8;53062
31.12.2012;8;52449
28.09.2012;8;50868
29.06.2012;8;50115
30.03.2012;8;50188
30.12.2011;8;49750
30.09.2011;8;47517
30.06.2011;8;47318
31.03.2011;8;46259
31.12.2010;8;46025
30.09.2010;8;45253
30.06.2010;8;44218
31.03.2010;8;43540
31.12.2009;8;42945
30.09.2009;8;42551
30.06.2009;8;42197
31.03.2009;8;41335
31.12.2008;8;40860
30.09.2008;8;38878
30.06.2008;8;38612
31.03.2008;8;37446
31.12.2007;8;36632
28.09.2007;8;36081
29.06.2007;8;35433
30.03.2007;8;34785
29.12.2006;8;34803
29.09.2006;8;34829
30.06.2006;8;33980
31.03.2006;8;34074
30.12.2005;8;34074
30.09.2005;8;34160
30.06.2005;8;34417
31.03.2005;8;34437
31.12.2004;8;34540
30.09.2004;8;35370
30.06.2004;8;35083
31.03.2004;8;42139
31.12.2003;8;30175
30.09.2003;8;27760
30.06.2003;8;34508
31.03.2003;8;35293
31.12.2002;8;33060
30.09.2002;8;36635
28.06.2002;8;36779
28.03.2002;8;36298
31.12.2001;8;35862
28.09.2001;8;33677
29.06.2001;8;35396
30.03.2001;8;34987
29.12.2000;8;35291
29.09.2000;8;33891
30.06.2000;8;31229
31.03.2000;8;29196
31.12.1999;8;29715
30.09.1999;8;31486
30.06.1999;8;31426
31.03.1999;8;34108
31.12.1998;8;33234
30.09.1998;8;31638
30.06.1998;8;29289
31.03.1998;8;29336
31.12.1997;8;30557
30.09.1997;8;29414,7461
30.06.1997;8;26674,9375
31.03.1997;8;26636,6191
31.12.1996;8;26129,9258
30.09.1996;8;25649,7148
28.06.1996;8;25758,1016
31.12.2015;9;49020
30.09.2015;9;50819
30.06.2015;9;51163
31.03.2015;9;50457
31.12.2014;9;50455
30.09.2014;9;49807
30.06.2014;9;34949
31.03.2014;9;28306
31.12.2013;9;27142
30.09.2013;9;26455
28.06.2013;9;25657
28.03.2013;9;24816
31.12.2012;9;24327
28.09.2012;9;21263
29.06.2012;9;20267
30.03.2012;9;17790
30.12.2011;9;16502
30.09.2011;9;26146
30.06.2011;9;25705
31.03.2011;9;25083
31.12.2010;9;24972
30.09.2010;9;23848
30.06.2010;9;24947
31.03.2010;9;25129
31.12.2009;9;25280
30.09.2009;9;24952
30.06.2009;9;25026
31.03.2009;9;25368
31.12.2008;9;26006
30.09.2008;9;26893
30.06.2008;9;31216
31.03.2008;9;27172
31.12.2007;9;25061
28.09.2007;9;25836,7
29.06.2007;9;26046,1
30.03.2007;9;25936
29.12.2006;9;25402
29.09.2006;9;24821,5
30.06.2006;9;25617,2
31.03.2006;9;26029
30.12.2005;9;29442,6
