Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD;T-Bill3M
29.06.2001;4;45,25;0,757722174;0,382240781;30,1881;2108;26,25;3,096;10502,4;0,849;1,4153;0,12082;0,008021;0,0343;0,02126;0,4309;0,00851
30.03.2001;4;43,9;0,760196272;0,377284041;31,4353;2433;26,29;5,025;9878,78;0,8767;1,4161;0,1208;0,007916;0,03477;0,02145;0,4651;0,01113
29.12.2000;4;42,2188;0,863420456;0,379479636;46,651;2039;26,8;9,775;10786,85;0,9427;1,493;0,12081;0,008741;0,03551;0,02141;0,5128;0,01195
29.09.2000;4;42,625;0,761145511;0,345719361;37,3916;1531;30,84;5,186;10650,92;0,8828;1,4754;0,12077;0,009247;0,03599;0,02173;0,5423;0,01552
30.06.2000;4;42,4063;0,747510522;0,338726431;40,2293;1116;32,5;4,476;10447,9;0,9525;1,5141;0,12079;0,009436;0,03562;0,02238;0,5556;0,01685
31.03.2000;4;46,2188;0,684443527;0,298756472;49,4974;1044;26,9;2,945;10921,93;0,9555;1,5911;0,12079;0,009728;0,03489;0,02293;0,576;0,01777
31.12.1999;4;43,3125;0,715281059;0,312174769;50,2507;809;25,6;2,329;11497,12;1,0062;1,6182;0,12078;0,009755;0,03629;0,02296;0,5559;0,01725
30.09.1999;4;44,375;0,689397545;0,29737169;48,0196;582;24,51;2,744;10336,96;1,0684;1,6473;0,1208;0,009405;0,03962;0,02292;0,5161;0,02371
30.06.1999;4;47,5313;0,615864444;0,274975568;47,358;350;19,29;2,394;10970,81;1,0351;1,5778;0,12079;0,008258;0,04122;0,02305;0,549;0,03656
31.03.1999;4;44,375;0,649368374;0,295573859;47,3124;329;16,76;2,013;9786,16;1,0762;1,6112;0,12077;0,008413;0,0402;0,02356;0,5822;0,04286
31.12.1998;4;41,4688;0,674663366;0,314510558;44,3701;-206;12,05;1,945;9181,43;1,1736;1,66;0,12078;0,008779;0,04849;0,02353;0,8276;0,05895
30.09.1998;4;42,0313;0,666812728;0,320733823;40,7959;461;16,14;2,433;7842,62;1,1706;1,6989;0,1208;0,007328;0,06285;0,02355;0,8435;0,06209
30.06.1998;4;41,875;0,660050084;0,322471395;41,0943;577;14,18;2,469;8952,01;1,0851;1,6679;0,12077;0,007206;0,16134;0,02357;0,8647;0,05854
31.03.1998;4;40,1563;0,682493975;0,332718193;40,4474;507;15,61;2,522;8799,8;1,0589;1,6725;0,12078;0,007515;0,16377;0,02532;0,8795;0,05871
31.12.1997;4;38,5;0,70234261;0,345934375;34,7299;875;17,64;2,264;7908,24;1,0909;1,6452;0,12078;0,007658;0,16784;0,02551;0,8961;0,05328
30.09.1997;4;41,5313;0,650229408;0,312603594;36,4569;727;21,18;3,082;7945,25;1,1106;1,6156;0,1207;0,008298;0,17061;0,02766;0,9124;0,04851
30.06.1997;4;36,9688;0,72216014;0,341815993;38,9278;823;19,8;2,139;7672,79;1,1255;1,6656;0,12061;0,008728;0,17295;0,02793;0,9289;0,04779
31.03.1997;4;34,8125;0,767448756;0,354810702;42,0182;831;20,41;1,926;6583,47;1,1654;1,6374;0,12054;0,008078;0,17464;0,02787;0,9439;0,04475
31.12.1996;4;32,5;0,820706884;0,367874667;42,8471;464;25,92;2,757;6448,26;1,2716;1,714;0,1205;0,008643;0,18018;0,02789;0,9629;0,04452
30.09.1996;4;31,3125;0,858560433;0,379265443;48,2383;655;24,38;2,214;5882,16;1,2804;1,5653;0,12045;0,008977;0,18532;0,02795;0,9794;0,04361
28.06.1996;4;29,5;0,89992423;0,394628901;48,8156;872;20,92;2,911;5654,62;1,2809;1,5527;0,12016;0,009114;0,19588;0,02849;0,9961;0,05078
31.12.2015;5;48,48;2,465839168;1,471138613;32,4984;-1821;37,04;2,337;17425,03;1,0862;1,4736;0,154;0,008316;0,0137;0,015102;0,2525;0,0512
30.09.2015;5;50,06;2,545450013;1,561441152;29,2984;-279;45,09;2,524;16284,7;1,1177;1,5128;0,15732;0,008342;0,01529;0,015253;0,2533;0,05347
30.06.2015;5;66,88;1,852131283;1,099204861;28,2282;-567;59,47;2,832;17619,51;1,1147;1,5712;0,16108;0,008163;0,01807;0,015722;0,3222;0,051
31.03.2015;5;67,87;1,850895079;1,110865175;27,5996;-389;47,6;2,64;17776,12;1,0731;1,4818;0,16129;0,008324;0,01718;0,016048;0,3128;0,05167
31.12.2014;5;73,82;1,820207895;1,05780301;26,8235;-8;53,27;2,889;17823,07;1,2098;1,5577;0,16113;0,008355;0,01723;0,015813;0,3773;0,05322
30.09.2014;5;94,32;1,453080392;0,864046461;24,6091;1008;91,16;4,121;17042,9;1,2631;1,6213;0,1629;0,00912;0,02526;0,016151;0,409;0,05171
30.06.2014;5;98,89;1,349648733;0,800305453;24,9528;931;105,37;4,461;16826,6;1,3692;1,7106;0,16117;0,009869;0,02942;0,016655;0,4518;0,05032
31.03.2014;5;82,88;1,590686533;0,930895687;23,0014;386;101,58;4,371;16457,66;1,3769;1,6662;0,16084;0,009687;0,02852;0,0167;0,4403;0,05157
31.12.2013;5;83;1,583418338;0,917889323;23,3941;1925;98,42;4,23;16576,66;1,3743;1,6557;0,16513;0,009497;0,03039;0,016165;0,4231;0,00295
30.09.2013;5;77,34;1,604714976;0,913204469;26,0423;420;102,33;3,56;15129,67;1,3527;1,6186;0,16339;0,01018;0,0309;0,015988;0,4505;0,00201
28.06.2013;5;66,49;1,81441111;1,049939112;24,1939;1431;96,56;3,565;14909,6;1,301;1,5213;0,16293;0,010086;0,03046;0,016755;0,4482;0,00165
28.03.2013;5;71,61;1,723875862;0,916262861;32,7458;1276;97,23;4,024;14578,54;1,2819;1,5198;0,16101;0,010614;0,03218;0,018357;0,4945;-0,00015
31.12.2012;5;52,96;2,401740102;1,17225882;38,254;374;91,82;3,351;13104,14;1,3193;1,6255;0,16047;0,01153;0,03273;0,018236;0,4876;0,00008
28.09.2012;5;53,72;2,30064382;1,125577944;37,9673;557;92,19;3,32;13437,13;1,286;1,6167;0,15909;0,01283;0,03207;0,018911;0,4932;0,00023
29.06.2012;5;43,45;2,737029324;1,345062498;39,3056;549;84,96;2,824;12880,09;1,2667;1,5707;0,15735;0,01253;0,03089;0,018055;0,4971;0,00041
30.03.2012;5;58,95;2,018425679;0,951287444;36,4253;545;103,02;2,126;13212,04;1,3343;1,6008;0,15887;0,012068;0,03412;0,019627;0,5474;0,00018
30.12.2011;5;56,8;2,026655071;0,962785443;32,5785;-131;98,83;2,989;12217,56;1,2961;1,5543;0,15872;0,013001;0,03108;0,018822;0,5363;0,00023
30.09.2011;5;52,46;2,094031603;1,060727758;29,5654;298;79,2;3,666;10913,38;1,3387;1,5584;0,15666;0,012983;0,031;0,020427;0,5318;0,00033
30.06.2011;5;74,76;1,455789607;0,743971418;29,3113;607;95,42;4,374;12414,34;1,4502;1,6053;0,15471;0,012413;0,03587;0,022411;0,6397;0,00068
31.03.2011;5;85,21;1,265533682;0,625806526;30,6453;929;106,72;4,389;12319,73;1,4158;1,6028;0,15272;0,012029;0,03523;0,022428;0,6126;0,00008
31.12.2010;5;76,54;1,369490752;0,650349476;33,2143;58;91,38;4,405;11577,51;1,3384;1,5612;0,1515;0,012323;0,03277;0,022365;0,6024;0,00033
30.09.2010;5;59,12;1,724187416;0,81500488;35,2793;1154;79,97;3,872;10788,05;1,3634;1,5716;0,14948;0,011973;0,0327;0,022254;0,5928;0,00074
30.06.2010;5;50,34;1,78434656;0,878866289;29,7729;375;75,63;4,616;9774,02;1,2238;1,4945;0,14746;0,011308;0,03199;0,021527;0,554;0,00043
31.03.2010;5;62,55;1,458251869;0,68299105;30,9047;538;83,76;3,869;10856,63;1,351;1,5184;0,14649;0,0107;0,03397;0,022306;0,5625;0,00094
31.12.2009;5;60,5;1,488330171;0,683323623;33,0204;358;79,36;5,572;10428,05;1,4321;1,617;0,14647;0,010753;0,03329;0,021493;0,5738;0,00084
30.09.2009;5;53,46;1,626345393;0,74388559;33,6665;341;70,61;4,841;9712,28;1,464;1,5982;0,1465;0,01115;0,03331;0,020789;0,5659;0,00069
30.06.2009;5;53,75;1,64491302;0,704133814;34,8441;100;69,89;3,835;8447;1,4033;1,6458;0,1464;0,010377;0,0321;0,020875;0,5121;0,00013
31.03.2009;5;54,2;1,604076884;0,684382818;35,6772;-59;49,66;3,776;7608,92;1,325;1,4323;0,14634;0,010104;0,02945;0,019712;0,4303;0,00023
31.12.2008;5;53,64;1,634238549;0,703507427;32,1362;-74;44,6;5,622;8776,39;1,3971;1,4593;0,14655;0,011021;0,03401;0,02054;0,4321;0,00015
30.09.2008;5;82,08;1,105155216;0,457000252;32,1478;775;100,64;7,438;10850,66;1,4092;1,7805;0,14601;0,009424;0,03899;0,021288;0,525;0,00094
30.06.2008;5;126,19;0,748742823;0,270423332;35,5341;900;140;13,353;11350,01;1,5755;1,9923;0,1459;0,009415;0,04265;0,023202;0,6234;0,00125
31.03.2008;5;88,18;0,948533432;0,377650652;36,8201;759;101,58;10,101;12262,89;1,5788;1,9837;0,14261;0,010031;0,04256;0,02493;0,5682;0,00158
31.12.2007;5;100,86;0,808115707;0,302266386;40,7203;510;95,98;7,483;13264,82;1,4589;1,985;0,13691;0,008948;0,04059;0,025374;0,5634;0,00175
28.09.2007;5;66,53;1,126244075;0,447420409;41,9077;395;81,66;6,87;13895,63;1,4267;2,0473;0,13322;0,00871;0,04024;0,025148;0,5456;0,00155
29.06.2007;5;58,96;1,239389332;0,484672327;43,9199;557;70,68;6,773;13408,62;1,3541;2,0087;0,1313;0,008119;0,03883;0,024564;0,5184;0,00053
30.03.2007;5;55,47;1,291354129;0,48939293;48,0785;370;65,87;7,73;12354,35;1,3354;1,9678;0,12942;0,008487;0,03848;0,022978;0,4857;0,00113
29.12.2006;5;49,57;1,437167105;0,521727137;46,2993;358;61,05;6,299;12463,15;1,3197;1,9588;0,128;0,008399;0,03798;0,022595;0,4676;0,00188
29.09.2006;5;41,42;1,857101919;0,663772037;48,8357;297;62,91;5,62;11679,07;1,2674;1,8721;0,12652;0,008462;0,03732;0,021772;0,4598;0,00206
30.06.2006;5;52,85;1,432907586;0,482807028;52,7242;566;73,93;6,104;11150,22;1,2791;1,8483;0,1251;0,008739;0,03725;0,021713;0,462;0,00081
31.03.2006;5;47,4667;1,494087007;0,507846823;55,8515;699;66,63;7,21;11109,32;1,2118;1,7372;0,12473;0,008491;0,03611;0,022411;0,4618;0,0091
30.12.2005;5;42,2733;1,619554272;0,532593155;60,2132;452;61,04;11,225;10717,5;1,1849;1,723;0,1239;0,008494;0,03476;0,022204;0,4277;0,01736
30.09.2005;5;45,8333;1,473932098;0,431821846;68,5554;272;66,24;13,921;10568,7;1,2026;1,7643;0,12356;0,008812;0,03503;0,02272;0,4484;0,01321
30.06.2005;5;35,5033;1,764712827;0,53237542;71,8815;299;56,5;6,981;10274,97;1,2108;1,7915;0,12077;0,009015;0,03493;0,022973;0,4287;0,03242
31.03.2005;5;32,07;1,904544277;0,565868972;76,1242;219;55,4;7,653;10503,76;1,2964;1,8905;0,12082;0,009333;0,03587;0,022855;0,372;0,03801
31.12.2004;5;27,46;2,15896228;0,740786653;68,5188;229;43,45;6,149;10783,01;1,3554;1,9182;0,12082;0,009744;0,03606;0,022999;0,3769;0,04807
30.09.2004;5;29,6667;1,928990353;0,644958262;72,9139;178;49,64;6,795;10080,27;1,2436;1,812;0,12082;0,009087;0,03422;0,021751;0,3496;0,05033
30.06.2004;5;26,3967;2,015325284;0,771299041;69,8581;288;37,05;6,155;10435,48;1,22;1,8204;0,12082;0,009194;0,0344;0,02175;0,3243;0,05011
31.03.2004;5;21,76;2,402134503;0,934068878;71,5613;281;35,76;5,933;10357,7;1,2316;1,8462;0,12081;0,009591;0,0351;0,023;0,3454;0,04877
31.12.2003;5;17,7233;2,926366014;1,117556641;73,8015;68;32,52;6,189;10453,92;1,2595;1,7858;0,12082;0,009327;0,0342;0,0219;0,346;0,04981
30.09.2003;5;16,7;2,933960287;1,046907032;95,2482;146;29,2;4,83;9275,06;1,1657;1,6618;0,12081;0,008968;0,0326;0,02185;0,3448;0,04607
30.06.2003;5;16,3933;3,074628653;1,033843884;101,5089;252;30,19;5,411;8985,44;1,1512;1,6546;0,1208;0,008348;0,0329;0,0211;0,352;0,04079
31.03.2003;5;14,7533;3,508103448;1,101950993;110,5563;176;31,04;5,06;7992,13;1,0915;1,5827;0,12081;0,008466;0,0319;0,02105;0,2982;0,03543
