Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD
31.03.2003;4;-0,027527076;0,080518896;0,06768462;-0,094828668;1,123893805;-0,005128205;0,056588014;-0,051328286;0,040316432;-0,016956522;0,00E+00;0,005941065;0,019169329;0,007177033;0,055575221
31.12.2002;4;-0,04;0,054113314;0,025234605;0,000790995;-2;0,024630542;0,157322378;0,090239593;0,063450233;0,026523846;0;0,024467438;-0,008238276;0,011127238;0,056469708
30.09.2002;4;-0,217514124;0,258209823;0,216953223;0,034344497;-3,221130221;0,133655994;0,275192604;-0,189782337;-0,004942007;0,022758396;0,00E+00;-0,017696999;-0,006610009;0,010757946;-0,246548323
28.06.2002;4;-0,019607843;0,006101193;0,00837343;-0,049524056;-0,43862069;0,020904599;-0,011574779;-0,123511581;0,137432603;0,075461112;0;0,11003451;-0,008426966;-0,001952172;-0,17484306
28.03.2002;4;0,007365249;0,006506754;-0,00249779;0,018763957;-1,287470262;0,326108871;0,277431907;0,022641952;-0,020011242;-0,01973051;-8,27678E-05;-0,0080316;-0,022574741;-0,011100386;-0,006238447
31.12.2001;4;0,057345133;-0,008136569;-0,152476416;0,777237408;-2,987391647;-0,153222364;0,145276292;0,11583517;-0,024028966;-0,013429192;8,27746E-05;-0,091941655;-0,034177961;-0,008137865;0,156291745
28.09.2001;4;-0,063535912;0,079275388;0,105215044;-0,051864808;-0,39800759;-0,107428571;-0,275193798;-0,175337794;0,073498233;0,041757931;-8,28E-05;0,042762748;-0,010495627;-0,017403575;-0,131352982
29.06.2001;4;0,030751708;-0,003254551;0,013137954;-0,039675142;-0,133579942;-0,001521491;-0,383880597;0,045877228;-0,031595757;-0,000564932;0,000165563;0,013264275;-0,0135174;-0,008857809;-0,073532574
30.03.2001;4;0,039821122;-0,119552627;-0,005785806;-0,326160211;0,193231976;-0,019029851;-0,485933504;-0,107893056;-0,070011669;-0,051507033;-8,28E-05;-0,094382794;-0,0208392;0,001868286;-0,093018721
29.12.2000;4;-0,009529619;0,134369766;0,097652257;0,247633158;0,331809275;-0,130998703;0,884882376;-0,023797722;0,067852288;0,011928968;0,000331208;-0,05472045;-0,013337038;-0,014726185;-0,054397935
29.09.2000;4;0,005157253;0,018240532;0,02064477;-0,07053814;0,371863799;-0,051076923;0,158623771;-0,023428344;-0,073175853;-0,025559738;-1,66E-04;-0,020029674;0,010387423;-0,029043789;-0,023938085
30.06.2000;4;-0,082488078;0,09214346;0,133787762;-0,187244178;0,068965517;0,208178439;0,519864177;-0,10235167;-0,003139717;-0,048394193;0;-0,030016447;0,020922901;-0,023986044;-0,035416667
31.03.2000;4;0,067100722;-0,043112468;-0,042983286;-0,014990836;0,290482077;0,05078125;0,264491198;-0,112119051;-0,050387597;-0,016747003;8,27952E-05;-0,002767811;-0,038578121;-0,00130662;0,036157582
31.12.1999;4;-0,023943662;0,037545121;0,049779719;0,046462278;0,390034364;0,044471644;-0,151239067;0,053694158;-0,058217896;-0,01766527;-1,66E-04;0,037214248;-0,08404846;0,001745201;0,077116838
30.09.1999;4;-0,066404664;0,119398192;0,081447681;0,013970185;0,662857143;0,270606532;0,14619883;-0,116486044;0,032170805;0,044048675;8,27883E-05;0,138895616;-0,038816109;-0,005639913;-0,05992714
30.06.1999;4;0,071127887;-0,051594645;-0,069689151;0,000963807;0,063829787;0,150954654;0,189269747;0,06777361;-0,038189928;-0,020729891;0,000165604;-0,018423868;0,025373134;-0,021646859;-0,057025077
31.03.1999;4;0,070081604;-0,037492761;-0,060210058;0,066312675;-2,597087379;0,390871369;0,03496144;0,017354468;-0,082992502;-0,02939759;-8,27952E-05;-0,041690398;-0,170963085;0,001274968;-0,296520058
31.12.1998;4;-0,013382884;0,011773377;-0,019403207;0,087611745;-1,446854664;-0,253407683;-0,200575421;0,122919533;0,002562788;-0,022897169;-0,000165563;0,198007642;-0,228480509;-0,000849257;-0,01885003
30.09.1998;4;0,003732537;0,010245653;-0,005388299;-0,007261348;-0,201039861;0,138222849;-0,014580802;-0,168676358;0,078794581;0,018586246;0,000248406;0,016930336;-0,610449981;-0,000848536;-0,024517174
30.06.1998;4;0,042800258;-0,032885113;-0,030797227;0,015993611;0,138067061;-0,091607944;-0,021015067;-0,027223016;0,024742657;-0,002750374;-8,27952E-05;-0,041117764;-0,014837882;-0,069115324;-0,016827743
